bioguide,candidate_id,cycle,totals_source,active_through,address_city,address_state,address_street_1,address_street_2,address_zip,all_other_loans,candidate_contribution,candidate_election_year,candidate_inactive,candidate_status,cash_on_hand_end_period,contribution_refunds,contributions,coverage_end_date,coverage_start_date,cycles,debts_owed_by_committee,disbursements,district,district_number,election_districts,election_full,election_year,election_years,exempt_legal_accounting_disbursement,federal_funds,federal_funds_flag,first_file_date,fundraising_disbursements,has_raised_funds,incumbent_challenge,incumbent_challenge_full,individual_contributions,individual_itemized_contributions,individual_unitemized_contributions,is_election,last_beginning_image_number,last_cash_on_hand_end_period,last_debts_owed_by_committee,last_debts_owed_to_committee,last_f2_date,last_file_date,last_net_contributions,last_net_operating_expenditures,last_report_type_full,last_report_year,load_date,loan_repayments,loan_repayments_candidate_loans,loan_repayments_other_loans,loans,loans_made_by_candidate,name,net_contributions,net_operating_expenditures,office,office_full,offsets_to_fundraising_expenditures,offsets_to_legal_accounting,offsets_to_operating_expenditures,operating_expenditures,other_disbursements,other_political_committee_contributions,other_receipts,party,party_full,political_party_committee_contributions,receipts,refunded_individual_contributions,refunded_other_political_committee_contributions,refunded_political_party_committee_contributions,state,state_full,total_offsets_to_operating_expenditures,transaction_coverage_date,transfers_from_other_authorized_committee,transfers_to_other_authorized_committee,two_year_period
A000148,H0MA04192,2026,candidates,2026,NEWTONVILLE,MA,PO BOX 600698,,02460,,,2026,False,C,5870684.19,,,2025-06-30,2025-01-01,"[2020, 2022, 2024, 2026]",0.00,277436.02,04,4,"['04', '04', '04', '04']",,2026,"[2020, 2022, 2024, 2026]",,,False,2019-10-03,,True,I,Incumbent,,775416.46,,True,,,,,2024-11-14,2024-11-14,,,,,2025-02-02T20:58:51,,,,,,"AUCHINCLOSS, JAKE",,,H,House,,,,,,194250.0,,DEM,DEMOCRATIC PARTY,,1164893.44,,,,MA,Massachusetts,,,67000.0,,2026
A000372,H2GA12121,2026,candidate,,,,,,,0.0,0.0,2026,,,,0.15,407674.34,2025-06-30T00:00:00,2025-01-01T00:00:00,,,255689.03,,,,True,,,0.0,0.0,,,0.0,,,,230424.34,217362.0,13062.34,,202507129762772130,1326941.97,1639945.28,0.0,,,200371.74,99074.86,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,407674.19,170688.88,,,0.0,0.0,0.0,170688.88,85000.0,177250.0,0.0,,,0.0,407674.34,0.15,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
A000381,H4AZ03109,2026,candidate,,,,,,,0.0,35704.6,2026,,,,4576.07,575848.96,2025-06-30T00:00:00,2025-01-01T00:00:00,,,259019.06,,,,True,,,0.0,0.0,,,0.0,,,,421111.36,385314.0,35797.36,,202507159763483961,359474.06,402500.0,0.0,,,261674.8,116401.04,JULY QUARTERLY,2025,,2500.0,2500.0,0.0,30000.0,30000.0,,571272.89,243857.54,,,0.0,0.0,2233.45,246090.99,5852.0,119033.0,0.0,,,0.0,608082.41,4576.07,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
B000740,H0OK05205,2026,candidate,,,,,,,0.0,0.0,2026,,,,428.91,533618.49,2025-06-30T00:00:00,2025-01-01T00:00:00,,,237629.73,,,,True,,,0.0,0.0,,,0.0,,,,152368.49,135459.66,16908.83,,202507149762828278,1566270.56,0.0,0.0,,,277390.08,111762.04,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,533189.58,233497.69,,,0.0,0.0,2703.13,236200.82,1000.0,381250.0,2470.42,,,0.0,717951.39,428.91,0.0,0.0,,,0.0,2025-06-30T00:00:00,179159.35,0.0,
B001243,H2TN06030,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001267,S0CO00211,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001282,H0KY06104,2026,candidates,2026,LEXINGTON,KY,PO BOX 2059,,405882059,,,2026,False,C,0.00,,,,,"[2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026]",0.00,0.0,06,6,"['06', '06', '06', '06', '06', '06', '06', '06', '06']",,2026,"[2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026]",,,False,2009-09-28,,False,I,Incumbent,,0.0,,True,,,,,2024-11-18,2024-11-18,,,,,2025-02-02T20:58:51,,,,,,"BARR, GARLAND ANDY",,,H,House,,,,,,0.0,,REP,REPUBLICAN PARTY,,0.0,,,,KY,Kentucky,,,0.0,,2026
B001291,H6TX02079,2026,candidate,,,,,,,0.0,0.0,2026,,,,0.0,247428.39,2025-06-30T00:00:00,2025-01-01T00:00:00,,,341661.73,,,,True,,,0.0,0.0,,,0.0,,,,101040.39,98672.69,2367.7,,202507149762831738,726851.13,0.0,0.0,,,93979.5,95120.36,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,247428.39,204931.73,,,0.0,0.0,8580.0,213511.73,128150.0,146388.0,8572.73,,,0.0,422310.21,0.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,157729.09,0.0,
B001298,H6NE02125,2026,candidate,,,,,,,0.0,0.0,2026,,,,16500.0,932833.45,2025-06-30T00:00:00,2025-01-01T00:00:00,,,483410.57,,,,True,,,0.0,0.0,,,0.0,,,,405083.45,380576.55,24506.9,,202507159762913621,1181066.44,0.0,0.0,,,313214.49,253767.32,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,916333.45,464410.57,,,0.0,0.0,0.0,464410.57,2500.0,527750.0,193.31,,,0.0,1466043.38,16500.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,533016.62,0.0,
B001302,H6AZ05083,2026,candidate,,,,,,,0.0,0.0,2026,,,,0.0,24825.78,2025-06-30T00:00:00,2025-01-01T00:00:00,,,48855.83,,,,True,,,0.0,0.0,,,0.0,,,,17825.78,7868.0,9957.78,,202507159762847647,437767.56,0.0,0.0,,,0.0,6159.63,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,24825.78,47370.83,,,0.0,0.0,1485.0,48855.83,0.0,7000.0,0.0,,,0.0,27745.83,0.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,1435.05,0.0,
