fec_committee_id,AMNDT_IND,RPT_YR,RPT_TP,IMAGE_NUM,LINE_NUM,FORM_TP_CD,SCHED_TP_CD,vendor_name,vendor_city,vendor_state,vendor_zip,expenditure_dt,expenditure_amt,TRANSACTION_PGI,purpose,CATEGORY,category_desc,MEMO_CD,MEMO_TEXT,ENTITY_TP,sub_id,FILE_NUM,tran_id,BACK_REF_TRAN_ID,election_cycle
C00707091,N,2025,MY,202507209764125884,21B,F3X,SB,"PRESTON, EMMA",SANTA MONICA,CA,90404,2025-04-15,1214.75,nan,PAYROLL,001,Administrative/Salary/Overhead Expenses,nan,nan,IND,4072120251209842517,1905178,EB4397,nan,2026
C00707091,N,2025,MY,202507209764125885,21B,F3X,SB,"REITER, ELIANA B.",WASHINGTON,DC,20012,2025-04-15,91.15,nan,PAYROLL,001,Administrative/Salary/Overhead Expenses,nan,nan,IND,4072120251209842518,1905178,EB4390,nan,2026
C00707091,N,2025,MY,202507209764125885,21B,F3X,SB,RIVER CITY BUSINESS PAYLINK,SACRAMENTO,CA,95841,2025-04-15,3973.48,nan,PAYROLL TAXES,001,Administrative/Salary/Overhead Expenses,nan,nan,ORG,4072120251209842519,1905178,EB4386,nan,2026
C00707091,N,2025,MY,202507209764125885,21B,F3X,SB,EMPLOYMENT DEVELOPMENT DEPARTMENT,SACRAMENTO,CA,94280,2025-04-15,657.98,nan,PAYROLL TAXES,001,Administrative/Salary/Overhead Expenses,X,nan,ORG,4072120251209842520,1905178,XB723EB4386,EB4386,2026
C00191247,N,2025,M7,202507209764126075,21B,F3X,SB,"COOK, JESSICA",PALMER,AK,996459359,2025-06-06,500.0,nan,FUNDRAISING STIPEND,nan,nan,X,*,IND,4072120251209835120,1905184,500454945,500454940,2026
C00191247,N,2025,M7,202507209764126075,21B,F3X,SB,PAYCHEX,ROCHESTER,NY,146252311,2025-06-10,173.44,nan,PAYROLL - INVOICE,nan,nan,nan,nan,ORG,4072120251209835121,1905184,500454975,nan,2026
C00191247,N,2025,M7,202507209764126076,21B,F3X,SB,PAYCHEX,ROCHESTER,NY,146252311,2025-06-13,184.56,nan,PAYROLL - INVOICE,nan,nan,nan,nan,ORG,4072120251209835122,1905184,500454974,nan,2026
C00191247,N,2025,M7,202507209764126076,21B,F3X,SB,PAYCHEX,ROCHESTER,NY,146252311,2025-06-20,500.0,G2017,PAYROLL - SEE MEMO ENTRIES,nan,nan,nan,nan,ORG,4072120251209835123,1905184,500454941,nan,2026
C00191247,N,2025,M7,202507209764126076,21B,F3X,SB,"COOK, JESSICA",PALMER,AK,996459359,2025-06-20,500.0,nan,FUNDRAISING STIPEND,nan,nan,X,*,IND,4072120251209835124,1905184,500454946,500454941,2026
C00191247,N,2025,M7,202507209764126077,21B,F3X,SB,PAYCHEX,ROCHESTER,NY,146252311,2025-06-24,173.44,nan,PAYROLL - INVOICE,nan,nan,nan,nan,ORG,4072120251209835125,1905184,500454976,nan,2026
C00191247,N,2025,M7,202507209764126071,21B,F3X,SB,ACTBLUE TECHNICAL SERVICES,CAMBRIDGE,MA,021385106,2025-06-30,1.09,G2017,CREDIT CARD PROCESSING FEES,nan,nan,nan,nan,ORG,4072120251209835107,1905184,500454458,nan,2026
C00191247,N,2025,M7,202507209764126071,21B,F3X,SB,ACTBLUE,CAMBRIDGE,MA,022382110,2025-06-03,14.0,nan,CREDIT CARD PROCESSING FEES,nan,nan,nan,nan,PAC,4072120251209835108,1905184,500454952,nan,2026
C00191247,N,2025,M7,202507209764126073,21B,F3X,SB,BLUEPRINT INTERACTIVE,ARLINGTON,VA,222074040,2025-06-06,4500.0,nan,CONSULTANT - FUNDRAISING,nan,nan,nan,nan,ORG,4072120251209835113,1905184,500454963,nan,2026
C00191247,N,2025,M7,202507209764126073,21B,F3X,SB,DEMOCRATIC NATIONAL COMMITTEE,WASHINGTON,DC,200034024,2025-06-30,2941.17,G2017,INKIND: VOTER FILE ACCESS,nan,nan,nan,nan,COM,4072120251209835114,1905184,500454936,nan,2026
