congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
112,President,99911,99,0,USA,100,0,0,"OBAMA, Barack",O000167,1961,,-0.358,-0.197,-50.85915,0.83,273,21,,,
112,House,20300,41,1,AL,200,0,1,"BONNER, Jr., Josiah Robins (Jo)",B001244,1959,,0.367,0.513,-146.62502,0.9,1390,57,,0.31,0.506
112,House,20301,41,3,AL,200,0,1,"ROGERS, Mike Dennis",R000575,1958,,0.378,0.379,-168.08998,0.88866,1424,74,,0.291,0.659
112,House,21102,41,7,AL,100,0,1,"SEWELL, Terri",S001185,1965,,-0.402,0.395,-260.14344,0.82987,1395,100,,-0.364,0.329
112,House,21192,41,2,AL,200,0,1,"ROBY, Martha",R000591,1976,,0.362,0.658,-149.44841,0.9005,1426,61,,0.36,0.59
112,House,21193,41,5,AL,200,0,1,"BROOKS, Mo",B001274,1954,,0.652,-0.417,-244.96145,0.84247,1429,100,,0.564,-0.142
112,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-182.54918,0.876,1382,78,,0.339,0.342
112,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.405,0.469,-191.0761,0.87435,1423,89,,0.327,0.601
112,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-370.59878,0.7476,1274,154,,0.338,-0.052
112,House,20100,61,6,AZ,200,0,1,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-192.73056,0.8707,1392,71,,0.913,-0.408
112,House,20304,61,2,AZ,200,0,1,"FRANKS, Trent",F000448,1957,,0.749,0.087,-198.19888,0.86938,1416,83,,0.689,0.002
112,House,20305,61,7,AZ,100,0,1,"GRIJALVA, Raúl M.",G000551,1948,,-0.598,-0.264,-171.38853,0.88376,1387,69,,-0.655,-0.113
112,House,20701,61,8,AZ,100,1,1,"GIFFORDS, Gabrielle",G000554,1970,,-0.11,0.076,,,,,,-0.542,0.841
112,House,21103,61,1,AZ,200,0,1,"GOSAR, Paul",G000565,1958,,0.704,-0.518,-313.44888,0.79629,1376,111,,0.507,-0.069
112,House,21104,61,3,AZ,200,0,1,"QUAYLE, Ben",Q000024,1976,,0.712,0.222,-154.5331,0.893,1371,74,,0.705,0.179
112,House,21105,61,5,AZ,200,0,1,"SCHWEIKERT, David",S001183,1962,,0.553,-0.22,-195.00964,0.87193,1423,75,,0.644,-0.256
112,House,21199,61,8,AZ,100,2,2,"BARBER, Ron",B001279,1945,,-0.123,0.001,-73.55459,0.727,231,26,,-0.3,0.226
112,House,29101,61,4,AZ,100,0,1,"PASTOR, Ed",P000099,1943,2018.0,-0.421,0.12,-300.85852,0.808,1412,152,,-0.475,0.267
112,House,20102,42,4,AR,100,0,1,"ROSS, Michael Avery",R000573,1961,,-0.201,0.89,-422.32622,0.738,1387,192,,-0.114,0.722
112,House,21106,42,1,AR,200,0,1,"CRAWFORD, Rick",C001087,1966,,0.461,0.305,-168.21119,0.88866,1425,76,,0.322,0.604
112,House,21107,42,2,AR,200,0,1,"GRIFFIN, Tim",G000567,1968,,0.41,0.421,-162.76919,0.892,1423,74,,0.424,0.292
112,House,21108,42,3,AR,200,0,1,"WOMACK, Steve",W000809,1957,,0.348,0.636,-127.39647,0.91499,1434,55,,0.308,0.574
112,House,14053,71,13,CA,100,0,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,2020.0,-0.631,-0.605,-160.84025,0.888,1354,69,,-0.587,-0.596
112,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-201.30439,0.864,1377,90,,-0.458,-0.425
112,House,14280,71,30,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-174.19722,0.883,1401,66,,-0.428,-0.216
112,House,14644,71,41,CA,200,0,1,"LEWIS, Charles Jeremy (Jerry)",L000274,1934,2021.0,0.348,-0.101,-186.97801,0.861,1246,66,,0.295,0.271
112,House,14647,71,3,CA,200,0,1,"LUNGREN, Daniel Edward",L000517,1946,,0.497,-0.054,-260.3908,0.833,1424,122,,0.355,0.267
112,House,14813,71,26,CA,200,0,1,"DREIER, David Timothy",D000492,1952,,0.478,-0.084,-248.0076,0.839,1417,112,,0.345,0.267
112,House,15005,71,28,CA,100,0,1,"BERMAN, Howard Lawrence",B000410,1941,,-0.404,-0.286,-217.35245,0.851,1352,92,,-0.368,-0.087
112,House,15413,71,24,CA,200,0,1,"GALLEGLY, Elton W.",G000021,1944,,0.402,-0.1,-194.95235,0.864,1333,74,,0.367,0.204
112,House,15420,71,2,CA,200,0,1,"HERGER, Walter William (Wally)",H000528,1945,,0.551,0.117,-136.48577,0.905,1374,52,,0.572,0.274
112,House,15448,71,8,CA,100,0,1,"PELOSI, Nancy",P000197,1940,,-0.489,-0.179,-157.18527,0.88869,1332,70,,-0.439,-0.05
112,House,15621,71,46,CA,200,0,1,"ROHRABACHER, Dana",R000409,1947,,0.626,-0.417,-294.46089,0.81129,1408,126,,0.631,-0.475
112,House,20103,71,15,CA,100,0,1,"HONDA, Mike",H001034,1941,,-0.529,-0.482,-158.77275,0.89,1361,66,,-0.529,-0.514
112,House,20104,71,29,CA,100,0,1,"SCHIFF, Adam",S001150,1960,,-0.352,-0.118,-188.68257,0.87647,1431,69,,-0.343,-0.057
